iata_code,airport_name,city,state,latitude,longitude
TXK,Texarkana Regional Airport (Webb Field),Texarkana,AR,33.453701,-93.990997
TYR,Tyler Pounds Regional Airport,Tyler,TX,32.354099,-95.402397
TYS,McGhee Tyson Airport,Knoxville/Maryville,TN,35.811001,-83.994003
USA,Concord-Padgett Regional Airport,Concord,NC,35.387798,-80.709099
VCT,Victoria Regional Airport,Victoria,TX,28.8526,-96.918503
VPS,Destin-Fort Walton Beach Airport,Valparaiso,FL,30.481315,-86.515839
VRB,Vero Beach Regional Airport,Vero Beach,FL,27.6556,-80.417901
WRG,Wrangell Airport,Wrangell,AK,56.484299,-132.369995
WYS,Yellowstone Airport,West Yellowstone,MT,44.6884,-111.117996
XNA,Northwest Arkansas National Airport,Fayetteville/Springdale/Rogers,AR,36.281898,-94.306801
XWA,Williston Basin International Airport,Williston,ND,48.260863,-103.75116
YAK,Yakutat Airport,Yakutat,AK,59.508717,-139.660435
YUM,Yuma International Airport / Marine Corps Air Station Yuma,Yuma,AZ,32.650938,-114.609375
